employee_id,employment_status,department,grade,attained_age_years,completed_service_years,gratuity_plan_id,db_pension_plan_id,dc_superannuation_plan_id,gti_pricing_plan_id,edli_plan_id,gratuity_dbo,db_pension_liability,combined_db_liability,current_annual_employer_contribution,current_annual_employee_contribution,projected_future_contribution_corpus,gti_sum_assured,gti_q_death_1y,gti_fresh_expected_claim_cost,gti_fresh_model_gross_premium,gti_underwriting_referral_flag,gti_cover_above_free_cover_limit,gti_free_cover_limit,edli_capped_monthly_wage,edli_part_b_lower_if_qualifying,edli_part_b_upper_if_qualifying,official_calculator_required_flag,edli_model_status,pipeline_11_version
E00001,Retired,Manufacturing,E2,46.7460643394935,5.344284736481861,GRAT_STD_01,,,,,,,0.0,,,,,,,,,,,,,,,,P11-C01
E00002,Active,Finance,E5,39.8631074606434,4.314852840520191,GRAT_STD_01,,SUP_DC_02,GTI_GRADE_03,EDLI_STAT_CURRENT,348263.69041580695,,348263.69041580695,180600.0,90300.0,19857429.66539951,4000000.0,0.0006684838191292939,2673.9352765171757,3342.4190956464695,False,0.0,5000000.0,15000.0,525000.0,700000.0,True,REVIEW_CURRENT_WAGE_USED_AS_12M_PROXY | REVIEW_CONTINUITY_INFORMATION_UNAVAILABLE | OFFICIAL_CALCULATOR_REQUIRED,P11-C01
E00003,Active,Corporate,E5,57.93839835728953,1.5578370978781657,GRAT_STD_01,,,GTI_FLAT_01,EDLI_STAT_CURRENT,813.843035634136,,813.843035634136,,,,2000000.0,0.002820756002775553,5641.512005551106,7051.890006938882,False,0.0,5000000.0,15000.0,525000.0,700000.0,True,REVIEW_CURRENT_WAGE_USED_AS_12M_PROXY | REVIEW_CONTINUITY_INFORMATION_UNAVAILABLE | OFFICIAL_CALCULATOR_REQUIRED,P11-C01
E00004,Active,Customer Service,E4,30.143737166324435,3.685147159479808,GRAT_STD_01,,SUP_DC_01,GTI_SAL_02,EDLI_STAT_CURRENT,118141.50694722954,,118141.50694722954,118620.0,0.0,21864684.55596009,3504000.0,0.00038553120295323657,1350.901335148141,1688.6266689351762,False,0.0,7500000.0,15000.0,525000.0,700000.0,True,REVIEW_CURRENT_WAGE_USED_AS_12M_PROXY | REVIEW_CONTINUITY_INFORMATION_UNAVAILABLE | OFFICIAL_CALCULATOR_REQUIRED,P11-C01
E00005,Active,Sales,E3,30.223134839151268,3.7782340862423,GRAT_STD_01,,,GTI_GRADE_03,,106861.04579555185,,106861.04579555185,,,,2500000.0,0.0003869405388066532,967.351347016633,1209.1891837707913,False,0.0,5000000.0,,,,,,P11-C01
E00006,Active,Manufacturing,E4,36.48459958932238,2.0095824777549622,GRAT_STD_01,,,GTI_FLAT_01,EDLI_STAT_CURRENT,53744.91949321978,,53744.91949321978,,,,2000000.0,0.0005395236725449261,1079.0473450898521,1348.809181362315,False,0.0,5000000.0,15000.0,525000.0,700000.0,True,REVIEW_CURRENT_WAGE_USED_AS_12M_PROXY | REVIEW_CONTINUITY_INFORMATION_UNAVAILABLE | OFFICIAL_CALCULATOR_REQUIRED,P11-C01
E00007,Active,Research,E3,50.4394250513347,10.729637234770705,,,SUP_DC_01,,EDLI_STAT_CURRENT,,,0.0,94320.0,0.0,1605205.168922899,,,,,,,,15000.0,525000.0,700000.0,True,REVIEW_CURRENT_WAGE_USED_AS_12M_PROXY | REVIEW_CONTINUITY_INFORMATION_UNAVAILABLE | OFFICIAL_CALCULATOR_REQUIRED,P11-C01
E00008,Exited,Finance,E3,39.13210130047912,3.132101300479124,GRAT_STD_01,,,,,,,0.0,,,,,,,,,,,,,,,,P11-C01
E00009,Active,Research,E2,30.401095140314855,6.414784394250513,GRAT_STD_01,,SUP_DC_01,GTI_GRADE_03,EDLI_STAT_CURRENT,120335.26716102424,,120335.26716102424,64440.0,0.0,11595075.701838361,2000000.0,0.00039013839843947233,780.2767968789447,975.3459960986808,False,0.0,5000000.0,15000.0,525000.0,700000.0,True,REVIEW_CURRENT_WAGE_USED_AS_12M_PROXY | REVIEW_CONTINUITY_INFORMATION_UNAVAILABLE | OFFICIAL_CALCULATOR_REQUIRED,P11-C01
E00010,Active,Manufacturing,E2,29.453798767967147,1.4182067077344285,GRAT_STD_01,,,GTI_FLAT_01,EDLI_STAT_CURRENT,20534.096642382,,20534.096642382,,,,2000000.0,0.0003737232481967985,747.446496393597,934.3081204919963,False,0.0,5000000.0,15000.0,525000.0,700000.0,True,REVIEW_CURRENT_WAGE_USED_AS_12M_PROXY | REVIEW_CONTINUITY_INFORMATION_UNAVAILABLE | OFFICIAL_CALCULATOR_REQUIRED,P11-C01
E00011,Active,Operations,E3,44.01916495550992,5.993155373032169,GRAT_ENH_02,,SUP_DC_02,GTI_FLAT_01,EDLI_STAT_CURRENT,287258.4904517435,,287258.4904517435,80900.0,40450.0,5395835.600967668,2000000.0,0.0008961159317799892,1792.2318635599784,2240.289829449973,False,0.0,5000000.0,15000.0,525000.0,700000.0,True,REVIEW_CURRENT_WAGE_USED_AS_12M_PROXY | REVIEW_CONTINUITY_INFORMATION_UNAVAILABLE | OFFICIAL_CALCULATOR_REQUIRED,P11-C01
E00012,Active,Sales,E4,24.139630390143736,3.9835728952772076,GRAT_STD_01,,SUP_DC_02,GTI_FLAT_01,EDLI_STAT_CURRENT,109415.88790561225,,109415.88790561225,71200.0,35600.0,38429083.81908818,2000000.0,0.00030468206255571237,609.3641251114248,761.7051563892809,False,0.0,5000000.0,15000.0,525000.0,700000.0,True,REVIEW_CURRENT_WAGE_USED_AS_12M_PROXY | REVIEW_CONTINUITY_INFORMATION_UNAVAILABLE | OFFICIAL_CALCULATOR_REQUIRED,P11-C01
E00013,Active,Research,E3,33.86447638603696,4.041067761806982,GRAT_STD_01,,,GTI_GRADE_03,EDLI_STAT_CURRENT,98682.15087526145,,98682.15087526145,,,,2500000.0,0.0004644996905633793,1161.2492264084483,1451.5615330105602,False,0.0,5000000.0,15000.0,525000.0,700000.0,True,REVIEW_CURRENT_WAGE_USED_AS_12M_PROXY | REVIEW_CONTINUITY_INFORMATION_UNAVAILABLE | OFFICIAL_CALCULATOR_REQUIRED,P11-C01
E00014,Active,Supply Chain,E5,43.16495550992471,9.52498288843258,GRAT_STD_01,PEN_DB_02,,GTI_GRADE_03,EDLI_STAT_CURRENT,517569.79203745513,1702974.9669218033,2220544.7589592584,,,,4000000.0,0.0008417033660116185,3366.813464046474,4208.516830058093,False,0.0,5000000.0,15000.0,525000.0,700000.0,True,REVIEW_CURRENT_WAGE_USED_AS_12M_PROXY | REVIEW_CONTINUITY_INFORMATION_UNAVAILABLE | OFFICIAL_CALCULATOR_REQUIRED,P11-C01
