employee_id,plan_id,attained_age_years,completed_service_years,remaining_service_years,current_gratuity_salary_basis,gratuity_salary_basis_column,model_input_quality_status,dbo_death,dbo_withdrawal,dbo_disability,dbo_early_retirement,puc_one_service_year_active_exit,projection_status,valuation_included_flag,probability_reach_retirement_active,probability_mass_total,retirement_puc_benefit,pv_gratuity_retirement,pv_one_service_year_retirement,gratuity_dbo,puc_one_service_year_pv,valuation_status,gratuity_engine_version
E00002,GRAT_STD_01,39.8631074606434,4.314852840520191,20.1368925393566,156100.0,eligible_gratuity_wages_monthly,Observed_or_Validated,5398.656047250047,226331.86751811657,6229.595484295678,8668.353877982358,57158.02648275521,PROJECTED,True,0.3159904099582984,1.0,1256227.4880256937,101635.21748816226,23554.73552509598,348263.69041580695,80712.76200785118,INCLUDED,P07-C01
E00003,GRAT_STD_01,57.93839835728953,1.5578370978781657,2.061601642710471,109100.0,eligible_gratuity_wages_monthly,Observed_or_Validated,539.8459839624383,0.0,273.99705167169765,0.0,522.4185742800845,PROJECTED,True,0.8398180001941676,1.0,0.0,0.0,0.0,813.843035634136,522.4185742800845,INCLUDED,P07-C01
E00004,GRAT_STD_01,30.143737166324435,3.685147159479808,29.856262833675565,68600.0,eligible_gratuity_wages_monthly,Observed_or_Validated,1574.875266901624,88353.77225512336,2744.328215925883,3721.4623868359954,26157.554624872515,PROJECTED,True,0.19735816196881895,0.9999999999999999,830683.1988654323,21747.06882244269,5901.275547843382,118141.50694722954,32058.830172715898,INCLUDED,P07-C01
E00005,GRAT_STD_01,30.223134839151268,3.7782340862423,29.776865160848732,60500.0,eligible_gratuity_wages_monthly,Observed_or_Validated,1430.1032760027524,79779.8090654085,2483.0633535719585,3363.4753319386195,23041.57154897333,PROJECTED,True,0.19862378850649803,0.9999999999999996,747638.2035858495,19804.594768630028,5241.759593653707,106861.04579555185,28283.331142627037,INCLUDED,P07-C01
E00006,GRAT_STD_01,36.48459958932238,2.0095824777549622,23.51540041067762,61700.0,eligible_gratuity_wages_monthly,Observed_or_Validated,876.9188693998287,35947.38603507355,1182.4557404226216,1387.2290261842159,19603.07183564312,PROJECTED,True,0.25018707728523454,1.0,281570.05447992467,14350.929822139564,7141.249478932527,53744.91949321978,26744.32131457565,INCLUDED,P07-C01
E00009,GRAT_STD_01,30.401095140314855,6.414784394250513,29.598904859685145,37200.0,eligible_gratuity_wages_monthly,Observed_or_Validated,1573.5716196672984,89830.07791200878,2684.465468558733,3918.22035829023,15278.196325096573,PROJECTED,True,0.21415428770821263,0.9999999999999999,772447.2178857897,22328.931802499203,3480.854605575259,120335.26716102424,18759.05093067183,INCLUDED,P07-C01
E00010,GRAT_STD_01,29.453798767967147,1.4182067077344285,30.546201232032853,37100.0,eligible_gratuity_wages_monthly,Observed_or_Validated,301.2636659076811,15063.86580573641,546.2762450382185,623.2119136070784,11658.82063602934,PROJECTED,True,0.17552411810474824,1.0,179982.13886673402,3999.4790120926136,2820.0959636425237,20534.096642382,14478.916599671864,INCLUDED,P07-C01
E00011,GRAT_ENH_02,44.01916495550992,5.993155373032169,15.980835044490078,67400.0,eligible_gratuity_wages_monthly,Observed_or_Validated,4767.811141983834,161209.8698205447,4541.917334563089,6111.152056353667,29472.07929035902,PROJECTED,True,0.4014002798884414,1.0,812575.4067492123,110627.7400982982,18459.014194108462,287258.4904517435,47931.09348446748,INCLUDED,P07-C01
E00012,GRAT_STD_01,24.139630390143736,3.9835728952772076,35.860369609856264,59300.0,eligible_gratuity_wages_monthly,Observed_or_Validated,1248.5810265963898,86670.79241369755,2737.3147605309778,3888.385147573929,23733.737484881563,PROJECTED,True,0.15280051970575173,1.0,1101344.1640912807,14870.814557213389,3733.034375960269,109415.88790561225,27466.771860841833,INCLUDED,P07-C01
E00013,GRAT_STD_01,33.86447638603696,4.041067761806982,26.135523613963038,47900.0,eligible_gratuity_wages_monthly,Observed_or_Validated,1344.0545829580337,71781.09404169073,2008.106686856047,2905.8210517210036,19311.499079721016,PROJECTED,True,0.23626707196143146,1.0000000000000002,512072.66882201843,20643.074512035633,5108.321792358411,98682.15087526145,24419.82087207943,INCLUDED,P07-C01
E00014,GRAT_STD_01,43.16495550992471,9.52498288843258,16.83504449007529,104500.0,eligible_gratuity_wages_monthly,Observed_or_Validated,8892.463946893411,289303.10648793436,8778.327201966464,11631.084881108847,33449.402088147195,PROJECTED,True,0.40581650082305437,0.9999999999999998,1531523.8814616632,198964.80951955207,20888.73143921138,517569.79203745513,54338.13352735857,INCLUDED,P07-C01
E00015,GRAT_STD_01,38.620123203285424,1.702943189596167,21.379876796714576,152600.0,eligible_gratuity_wages_monthly,Reconstructed_or_Imputed,1914.6240937685948,64086.10010834764,2355.675786051409,2429.475191791082,41566.78602810277,PROJECTED,True,0.27412829139172235,0.9999999999999999,521085.3775628099,33623.36683540075,19744.268065321743,104409.24201535947,61311.05409342451,INCLUDED,P07-C01
E00016,GRAT_STD_01,33.20739219712526,3.704312114989733,26.79260780287474,65200.0,eligible_gratuity_wages_monthly,Observed_or_Validated,1636.9567559500206,81482.11247778228,2516.9901213987932,3331.6824217401686,24017.34492535272,PROJECTED,True,0.22702738758960897,1.0,663870.2422095989,24597.63894250915,6640.271710089776,113565.38071938041,30657.616635442497,INCLUDED,P07-C01
E00017,GRAT_STD_01,25.404517453798768,4.832306639288158,34.59548254620123,45000.0,eligible_gratuity_wages_monthly,Observed_or_Validated,1213.0291727935548,86523.1679461087,2527.0660417763197,3861.9579969457973,19478.321262222267,PROJECTED,True,0.16545741996869504,0.9999999999999997,941788.8187977016,15000.088105395644,3104.125881300713,109125.30926302001,22582.44714352298,INCLUDED,P07-C01
E00018,GRAT_EXEC_03,52.63518138261465,14.94592744695414,9.364818617385353,214200.0,eligible_gratuity_wages_monthly,Observed_or_Validated,45562.301747759964,843488.6608456019,26863.477040447982,32638.100680135634,63465.6192250721,PROJECTED,True,0.6096651345424561,1.0,4441432.845471943,1462345.0526817136,97842.37598314634,2410897.592995659,161307.99520821843,INCLUDED,P07-C01
E00019,GRAT_STD_01,41.52224503764545,7.345653661875428,18.477754962354553,128900.0,eligible_gratuity_wages_monthly,Observed_or_Validated,8125.786924400577,294905.89324917825,8654.434675880057,11716.001213604688,44026.32236005739,PROJECTED,True,0.36351067209395954,1.0,1603233.7768442114,166942.8316406313,22726.74962979523,490344.9477036949,66753.07198985261,INCLUDED,P07-C01
