employee_id,plan_id,cover_basis,sum_assured,free_cover_limit,cover_above_free_cover_limit,q_death_1y,fresh_expected_claim_cost,gross_model_premium,gti_cover_status,pipeline_09_version
E02490,GTI_GRADE_03,Grade Based,10000000.0,5000000.0,5000000.0,0.0017088271394941203,17088.271394941203,91535.10431121023,OK,P09-C01
E07548,GTI_GRADE_03,Grade Based,10000000.0,5000000.0,5000000.0,0.0015161251890018184,15161.251890018184,81212.82376473649,OK,P09-C01
E09067,GTI_GRADE_03,Grade Based,10000000.0,5000000.0,5000000.0,0.003714301853130616,37143.01853130616,198960.4446885613,OK,P09-C01
E07281,GTI_GRADE_03,Grade Based,10000000.0,5000000.0,5000000.0,0.0016627274720422255,16627.274720422254,89065.72764261956,OK,P09-C01
E00672,GTI_GRADE_03,Grade Based,10000000.0,5000000.0,5000000.0,0.0016931717044856662,16931.71704485666,90696.50464046736,OK,P09-C01
E02084,GTI_GRADE_03,Grade Based,10000000.0,5000000.0,5000000.0,0.002054899023437513,20548.99023437513,110072.8049737321,OK,P09-C01
E05670,GTI_GRADE_03,Grade Based,10000000.0,5000000.0,5000000.0,0.002163882212404386,21638.822124043858,115910.6029228004,OK,P09-C01
E07300,GTI_GRADE_03,Grade Based,10000000.0,5000000.0,5000000.0,0.003139914327846935,31399.14327846935,168192.77906179443,OK,P09-C01
E08889,GTI_GRADE_03,Grade Based,10000000.0,5000000.0,5000000.0,0.0007379540761302411,7379.540761302411,39529.278166463024,OK,P09-C01
E05085,GTI_GRADE_03,Grade Based,10000000.0,5000000.0,5000000.0,0.002596021464961866,25960.214649618658,139058.59176591266,OK,P09-C01
E08850,GTI_GRADE_03,Grade Based,10000000.0,5000000.0,5000000.0,0.0014557730159186293,14557.730159186292,77979.99679768975,OK,P09-C01
E08817,GTI_GRADE_03,Grade Based,10000000.0,5000000.0,5000000.0,0.0010081314347789802,10081.314347789801,54001.60958891506,OK,P09-C01
E02887,GTI_GRADE_03,Grade Based,10000000.0,5000000.0,5000000.0,0.00086418498502406,8641.8498502406,46290.96818521775,OK,P09-C01
E03727,GTI_GRADE_03,Grade Based,10000000.0,5000000.0,5000000.0,0.001790843024222599,17908.43024222599,95928.37054059605,OK,P09-C01
E06199,GTI_GRADE_03,Grade Based,10000000.0,5000000.0,5000000.0,0.0008833416619130664,8833.416619130665,47317.11552146059,OK,P09-C01
E08628,GTI_GRADE_03,Grade Based,10000000.0,5000000.0,5000000.0,0.001815505126371717,18155.05126371717,97249.42171106233,OK,P09-C01
E08582,GTI_GRADE_03,Grade Based,10000000.0,5000000.0,5000000.0,0.001602589535110149,16025.895351101492,85844.37645798881,OK,P09-C01
E04840,GTI_GRADE_03,Grade Based,10000000.0,5000000.0,5000000.0,0.0011038151623741187,11038.151623741187,59127.00804723969,OK,P09-C01
E08580,GTI_GRADE_03,Grade Based,10000000.0,5000000.0,5000000.0,0.0018277668403375576,18277.668403375577,97906.2331818994,OK,P09-C01
E01036,GTI_GRADE_03,Grade Based,10000000.0,5000000.0,5000000.0,0.0014349876699459912,14349.876699459912,76866.60810682822,OK,P09-C01
E06143,GTI_GRADE_03,Grade Based,10000000.0,5000000.0,5000000.0,0.0018953396706603862,18953.39670660386,101525.84216940348,OK,P09-C01
E03563,GTI_GRADE_03,Grade Based,10000000.0,5000000.0,5000000.0,0.0015233524708242472,15233.524708242472,81599.96063786597,OK,P09-C01
E08454,GTI_GRADE_03,Grade Based,10000000.0,5000000.0,5000000.0,0.00106461371103362,10646.1371103362,57027.14150446832,OK,P09-C01
E01816,GTI_GRADE_03,Grade Based,10000000.0,5000000.0,5000000.0,0.00150280757904473,15028.0757904473,80499.45212612886,OK,P09-C01
E03556,GTI_GRADE_03,Grade Based,10000000.0,5000000.0,5000000.0,0.00238198887587125,23819.8887587125,127593.71336153072,OK,P09-C01
E08230,GTI_GRADE_03,Grade Based,10000000.0,5000000.0,5000000.0,0.0035376336564244067,35376.33656424407,189497.028851917,OK,P09-C01
E05610,GTI_GRADE_03,Grade Based,10000000.0,5000000.0,5000000.0,0.002066054805780559,20660.54805780559,110670.37606611666,OK,P09-C01
E03351,GTI_GRADE_03,Grade Based,10000000.0,5000000.0,5000000.0,0.0014443630855723124,14443.630855723124,77368.81200298727,OK,P09-C01
E05846,GTI_GRADE_03,Grade Based,10000000.0,5000000.0,5000000.0,0.0015181860923165788,15181.860923165788,81323.21819582433,OK,P09-C01
E07900,GTI_GRADE_03,Grade Based,10000000.0,5000000.0,5000000.0,0.0006944798624945822,6944.798624945822,37200.5366641681,OK,P09-C01
E08116,GTI_GRADE_03,Grade Based,10000000.0,5000000.0,5000000.0,0.0008043331145127847,8043.331145127848,43084.94044616131,OK,P09-C01
E05732,GTI_GRADE_03,Grade Based,10000000.0,5000000.0,5000000.0,0.0019149004579769849,19149.004579769848,102573.63610130716,OK,P09-C01
E04961,GTI_GRADE_03,Grade Based,10000000.0,5000000.0,5000000.0,0.0008032305342416757,8032.3053424167565,43025.87958634998,OK,P09-C01
E05059,GTI_GRADE_03,Grade Based,10000000.0,5000000.0,5000000.0,0.0015880356294379276,15880.356294379275,85064.78135263678,OK,P09-C01
