employee_id,effective_date,basic_salary_monthly,dearness_allowance_monthly,gratuity_eligible_wages_monthly,pensionable_salary_annual,edli_eligible_wages_monthly,gross_compensation_annual,basic_salary_reconstructed_flag,gratuity_wage_reconstructed_flag,pensionable_salary_reconstructed_flag,edli_wage_reconstructed_flag,basic_salary_growth_rate_clean,gross_comp_growth_rate_clean,unresolved_large_salary_movement_flag,cleaning_any_change_flag,cleaning_review_flag,salary_record_sequence,salary_effective_year,previous_effective_date,previous_basic_salary_monthly,previous_gross_compensation_annual,salary_interval_years,basic_salary_period_growth,basic_salary_annualized_growth,gross_comp_period_growth,gross_comp_annualized_growth,basic_salary_annual,gratuity_eligible_wages_annual,edli_eligible_wages_annual,grade,occupation_class,work_location,employment_type,age_band,service_band,salary_growth_model_usable_flag,feature_version
E00001,2022-04-01,20800.0,3600.0,24400.0,293000.0,24400.0,375000.0,False,False,False,False,,,False,False,False,1,2022,,,,,,,,,249600.0,292800.0,292800.0,E2,Factory,Mumbai,Permanent,45-54,5-9,False,P04-C01
E00001,2023-04-01,22300.0,3900.0,26200.0,315000.0,26200.0,403000.0,False,False,False,False,0.07211538461538458,0.07466666666666666,False,False,False,2,2023,2022-04-01,20800.0,375000.0,0.999315537303217,0.07211538461538458,0.0721665196376915,0.07466666666666666,0.07471967298937465,267600.0,314400.0,314400.0,E2,Factory,Mumbai,Permanent,45-54,5-9,True,P04-C01
E00002,2023-04-01,114100.0,4200.0,118300.0,1369000.0,118300.0,1948000.0,False,False,False,False,,,False,False,False,1,2023,,,,,,,,,1369200.0,1419600.0,1419600.0,E5,Office,Mumbai,Permanent,35-44,1-4,False,P04-C01
E00002,2024-04-01,124400.0,4600.0,129000.0,1492000.0,129000.0,2124000.0,False,False,False,False,0.09027169149868541,0.09034907597535935,False,False,False,2,2024,2023-04-01,114100.0,1948000.0,1.002053388090349,0.09027169149868541,0.09007861673571083,0.09034907597535935,0.09015582895619034,1492800.0,1548000.0,1548000.0,E5,Office,Mumbai,Permanent,35-44,1-4,True,P04-C01
E00002,2025-04-01,133000.0,4900.0,137900.0,1595000.0,137900.0,2270000.0,False,False,False,False,0.06913183279742774,0.06873822975517885,False,False,False,3,2025,2024-04-01,124400.0,2124000.0,0.999315537303217,0.06913183279742774,0.0691807847399446,0.06873822975517885,0.06878689412213834,1596000.0,1654800.0,1654800.0,E5,Office,Mumbai,Permanent,35-44,1-4,True,P04-C01
E00002,2026-04-01,144200.0,5400.0,149600.0,1731000.0,149600.0,2463000.0,False,False,False,False,0.08421052631578951,0.08502202643171808,False,False,False,4,2026,2025-04-01,133000.0,2270000.0,0.999315537303217,0.08421052631578951,0.08427056954971301,0.08502202643171808,0.08508267066714859,1730400.0,1795200.0,1795200.0,E5,Office,Mumbai,Permanent,35-44,1-4,True,P04-C01
E00003,2025-04-01,94900.0,3000.0,97900.0,1175000.0,97900.0,1438000.0,False,False,False,False,,,False,False,False,1,2025,,,,,,,,,1138800.0,1174800.0,1174800.0,E5,Office,Hyderabad,Fixed-Term,55-59,1-4,False,P04-C01
E00003,2026-04-01,101700.0,3200.0,104900.0,1259000.0,104900.0,1540000.0,False,False,False,False,0.07165437302423605,0.0709318497913769,False,False,False,2,2026,2025-04-01,94900.0,1438000.0,0.999315537303217,0.07165437302423605,0.07170517034991342,0.0709318497913769,0.0709821181334429,1220400.0,1258800.0,1258800.0,E5,Office,Hyderabad,Fixed-Term,55-59,1-4,True,P04-C01
E00004,2023-04-01,51100.0,2100.0,53200.0,638000.0,53200.0,906000.0,False,False,False,False,,,False,False,False,1,2023,,,,,,,,,613200.0,638400.0,638400.0,E4,Laboratory,Chennai,Permanent,25-34,1-4,False,P04-C01
E00004,2024-04-01,55700.0,2300.0,58000.0,696000.0,58000.0,988000.0,False,False,False,False,0.09001956947162437,0.09050772626931569,False,False,False,2,2024,2023-04-01,51100.0,906000.0,1.002053388090349,0.09001956947162437,0.08982705584900263,0.09050772626931569,0.09031412606286704,668400.0,696000.0,696000.0,E4,Laboratory,Chennai,Permanent,25-34,1-4,True,P04-C01
