employee_id,plan_id,attained_age_years,completed_service_years,remaining_service_years,model_input_quality_status,grade,occupation_class,work_location,mortality_A,mortality_B,mortality_c,weibull_eta,weibull_k,disability_annual_q,mortality_intensity_at_age,q_death_standalone,weibull_survival_at_service,q_withdrawal_standalone,q_disability_standalone,early_retirement_linear_score,q_early_retirement_standalone,lambda_death,lambda_withdrawal,lambda_disability,lambda_early_retirement,lambda_total,q_any_exit,q_death_competing,q_withdrawal_competing,q_disability_competing,q_early_retirement_competing,p_remain_active,competing_probability_sum,competing_mass_balance_difference,decrement_engine_version
E00002,GRAT_STD_01,39.8631074606434,4.314852840520191,20.1368925393566,Observed_or_Validated,E5,Office,Mumbai,0.0002,1e-05,1.1,15.0,0.75,0.0015,0.0006467258219132735,0.0006684838191292939,0.6751731903693466,0.06430417487112115,0.0015,-6.057524461584966,0.0023347232565654884,0.0006687073540627216,0.06646482847266993,0.0015011261262671456,0.0023374529724896997,0.07097211492548951,0.06851213362599702,0.0006455291299453423,0.06416107529737852,0.0014490952377601083,0.0022564339609130466,0.9314878663740029,0.06851213362599702,0.0,P06-C01
E00003,GRAT_STD_01,57.93839835728953,1.5578370978781657,2.061601642710471,Observed_or_Validated,E5,Office,Hyderabad,0.0002,1e-05,1.1,15.0,0.75,0.0015,0.002701646159594547,0.002820756002775553,0.8328130672477929,0.07910973037700098,0.0015,-6.2280492288691995,0.001969411361657387,0.0028247418321217252,0.08241439247091703,0.0015011261262671456,0.0019713532021537854,0.08871161363145968,0.08489055938680988,0.0027030723987089967,0.07886457693628497,0.0014364684774912282,0.0018864415743246822,0.9151094406131901,0.08489055938680988,0.0,P06-C01
E00004,GRAT_STD_01,30.143737166324435,3.685147159479808,29.856262833675565,Observed_or_Validated,E4,Laboratory,Chennai,0.0002,1e-05,1.1,15.0,0.75,0.0015,0.00037690097315168933,0.00038553120295323657,0.7054230277605575,0.06653118217121919,0.0015,-5.954238923608458,0.0025881022837272085,0.00038560553921404117,0.06884772006252116,0.0015011261262671456,0.0025914572102883043,0.07332590893829065,0.07070208582958147,0.0003718074051126618,0.06638414011516572,0.0014474112869120477,0.0024987270223910387,0.9292979141704185,0.07070208582958147,0.0,P06-C01
E00005,GRAT_STD_01,30.223134839151268,3.7782340862423,29.776865160848732,Observed_or_Validated,E3,Field,Ahmedabad,0.0002,1e-05,1.1,15.0,0.75,0.0015,0.0003782447326957655,0.0003869405388066532,0.7007893272094894,0.06617657537716445,0.0015,-5.955565292215635,0.002584680648416257,0.0003870154196138421,0.0684679114923833,0.0015011261262671456,0.00258802670234087,0.07294407974060516,0.07034718500116553,0.00037323721703933296,0.06603037358927624,0.001447684276642048,0.0024958899182079,0.9296528149988345,0.07034718500116552,-1.3877787807814457e-17,P06-C01
E00006,GRAT_STD_01,36.48459958932238,2.0095824777549622,23.51540041067762,Observed_or_Validated,E4,Management,Kolkata,0.0002,1e-05,1.1,15.0,0.75,0.0015,0.0005237393898916142,0.0005395236725449261,0.801362016965739,0.07535319806420485,0.0015,-6.010171833060419,0.00244766077984415,0.0005396692678119615,0.07834345013262864,0.0015011261262671456,0.0024506611984954,0.08283490672520313,0.0794968964518789,0.0005179221369057877,0.07518643273828404,0.0014406350286232754,0.0023519065480658153,0.920503103548121,0.07949689645187892,1.3877787807814457e-17,P06-C01
E00009,GRAT_STD_01,30.401095140314855,6.414784394250513,29.598904859685145,Observed_or_Validated,E2,Office,Pune,0.0002,1e-05,1.1,15.0,0.75,0.0015,0.00038129380314591045,0.00039013839843947233,0.5892925914377394,0.05889157001827623,0.0015,-5.971862465311351,0.002543005297083434,0.0003902145222242923,0.06069691757412866,0.0015011261262671456,0.0025462442272969586,0.06513450244991706,0.06305856601633729,0.0003777777872661923,0.05876241377262948,0.0014532829356430587,0.002465091520798551,0.9369414339836627,0.06305856601633728,-1.3877787807814457e-17,P06-C01
E00010,GRAT_STD_01,29.453798767967147,1.4182067077344285,30.546201232032853,Observed_or_Validated,E2,Factory,Hyderabad,0.0002,1e-05,1.1,15.0,0.75,0.0015,0.00036564251622521677,0.0003737232481967985,0.8432391753438822,0.08049111937620076,0.0015,-5.934711521074448,0.0026390031902596544,0.0003737931001339906,0.08391557688347684,0.0015011261262671456,0.0026424914976331685,0.08843298760751114,0.0846355505574957,0.00035774189790853975,0.08031212381294338,0.001436665655996334,0.0025290191906474587,0.9153644494425043,0.0846355505574957,0.0,P06-C01
E00011,GRAT_ENH_02,44.01916495550992,5.993155373032169,15.980835044490078,Observed_or_Validated,E3,Office,Bengaluru,0.0002,1e-05,1.1,15.0,0.75,0.0015,0.0008638522566942143,0.0008961159317799892,0.6049902254626568,0.05979879973035637,0.0015,-6.109422689125372,0.0022169075324386745,0.0008965176836903742,0.06166138378194153,0.0015011261262671456,0.0022193685097879165,0.06627839610168697,0.06412971461790949,0.0008674534476779467,0.05966238137106421,0.0014524610694456705,0.0021474187297216675,0.9358702853820905,0.06412971461790949,0.0,P06-C01
E00012,GRAT_STD_01,24.139630390143736,3.9835728952772076,35.860369609856264,Observed_or_Validated,E4,Field,Chennai,0.0002,1e-05,1.1,15.0,0.75,0.0015,0.00029981690980501405,0.00030468206255571237,0.690772927987332,0.06542724999204516,0.0015,-5.894207208499913,0.0027477887563462818,0.00030472848756548526,0.0676658059909181,0.0015011261262671456,0.0027515708577369336,0.07222323146248766,0.06967680477804049,0.00029398445498019426,0.065280063751049,0.0014481998372152239,0.0026545567347960658,0.9303231952219595,0.06967680477804047,-1.3877787807814457e-17,P06-C01
E00013,GRAT_STD_01,33.86447638603696,4.041067761806982,26.135523613963038,Observed_or_Validated,E3,Field,Pune,0.0002,1e-05,1.1,15.0,0.75,0.0015,0.00045219798311314677,0.0004644996905633793,0.6880171658341233,0.06522506718649483,0.0015,-5.9944087137184106,0.0024864525510287653,0.0004646076039631004,0.0674494922380548,0.0015011261262671456,0.0024895489078675137,0.07190477487615254,0.06938049004991755,0.000448297116560039,0.06508161430384204,0.0014484276801719086,0.0024021509493435647,0.9306195099500825,0.06938049004991756,1.3877787807814457e-17,P06-C01
