employee_id,plan_id,attained_age_years,completed_service_years,retirement_age,years_to_retirement,service_at_retirement,pensionable_salary_basis_rule,pension_salary_source,current_pensionable_salary_annual,salary_escalation_rate,final_pensionable_salary,accrual_rate,full_annual_pension_at_retirement,puc_annual_pension_at_retirement,discount_rate,pension_escalation_rate,pensioner_mortality_model,mortality_A,mortality_B,mortality_c,spouse_pension_percentage_rule,spouse_pension_percentage_modelled,spouse_age_at_retirement,probability_reach_retirement_active,active_survival_source,active_survival_matched_horizon,member_annuity_factor,spouse_annuity_factor,member_pv_at_retirement,spouse_pv_at_retirement,total_pv_at_retirement,pre_retirement_discount_factor,member_dbo,spouse_dbo,db_pension_liability,puc_one_service_year_pv,model_status,review_flag
E00014,PEN_DB_02,43.16495550992471,9.52498288843258,60.0,16.83504449007529,26.360027378507873,pensionable_salary_annual,pensionable_salary_annual,1254000.0,0.065,3620173.626634763,0.02,1908557.51826089,689641.8369370208,0.068,0.03,Gompertz-Makeham,0.0002,1e-05,1.1,0.67,0.67,59.75633127994524,0.40581650082305437,PIPELINE_06_RETIREMENT_SUMMARY,16.83504449007529,16.87780186690075,1.5406563189261417,11639638.282948513,1062501.0538728528,12702139.336821366,0.3303708264646888,1560525.5220611002,142449.44486070308,1702974.9669218033,178790.3439690108,OK,False
E00021,PEN_DB_01,38.63655030800821,5.823408624229979,60.0,21.36344969199179,27.18685831622177,pensionable_salary_annual,pensionable_salary_annual,682000.0,0.06,2368126.8077904815,0.015,965728.9199736954,206858.5511363595,0.07,0.03,Gompertz-Makeham,0.0002,1e-05,1.1,0.5,0.0,,0.3081148376551949,PIPELINE_06_RETIREMENT_SUMMARY,21.36344969199179,16.452696014800427,0.0,3403380.8599085724,0.0,3403380.8599085724,0.23564658138282715,247106.57918532743,0.0,247106.57918532743,42433.32301243105,REVIEW_SPOUSE_DOB_MISSING,True
E00023,PEN_DB_02,47.10746064339494,4.317590691307323,60.0,12.892539356605063,17.210130047912386,pensionable_salary_annual,pensionable_salary_annual,706000.0,0.065,1590049.320881865,0.02,547299.1118994334,137303.64293118144,0.068,0.03,Gompertz-Makeham,0.0002,1e-05,1.1,0.67,0.67,63.80561259411362,0.4558179983783638,PIPELINE_06_RETIREMENT_SUMMARY,12.892539356605063,16.87779941727805,1.2233007256858675,2317383.344654048,167963.64603702747,2485346.990691075,0.4281973746103211,452307.0439032058,32783.15622552026,485090.200128726,112352.05808308005,OK,False
E00031,PEN_DB_01,48.158795345653665,10.625598904859686,60.0,11.841204654346335,22.46680355920602,pensionable_salary_annual,pensionable_salary_annual,1684000.0,0.06,3357329.8881319617,0.015,1131427.0662016785,535104.6117388149,0.07,0.03,Gompertz-Makeham,0.0002,1e-05,1.1,0.5,0.5,60.145106091718,0.5240884246344394,PIPELINE_06_RETIREMENT_SUMMARY,11.841204654346335,16.452696014800427,1.0728357913383424,8803913.51305653,574079.3795836079,9377992.892640138,0.448808088148439,2070813.6076104094,135032.1523862343,2205845.7599966438,207597.31096077658,OK,False
E00038,PEN_DB_02,49.81519507186858,11.71252566735113,60.0,10.18480492813142,21.89733059548255,pensionable_salary_annual,pensionable_salary_annual,996000.0,0.065,1891514.8641435239,0.02,828382.5261284001,443088.3279291442,0.068,0.03,Gompertz-Makeham,0.0002,1e-05,1.1,0.67,0.67,64.75290896646133,0.5747502207093358,PIPELINE_06_RETIREMENT_SUMMARY,10.18480492813142,16.87779941727805,1.154397471109706,7478355.922925216,511500.0452396322,7989855.968164848,0.5116905127242634,2199341.365131322,150429.21457020295,2349770.5797015247,200620.31422065964,OK,False
E00039,PEN_DB_02,38.691307323750856,4.7091033538672145,60.0,21.308692676249144,26.017796030116358,pensionable_salary_annual,pensionable_salary_annual,564000.0,0.065,2158059.879630425,0.02,1122959.2353800372,203250.54034027824,0.068,0.03,Gompertz-Makeham,0.0002,1e-05,1.1,0.67,0.67,74.77891854893909,0.3014706059670054,PIPELINE_06_RETIREMENT_SUMMARY,21.308692676249144,16.87779941727805,0.5680332137344417,3430421.8513165973,115453.05762275004,3545874.908939347,0.24614099791482738,254551.9691472842,8567.110529180678,263119.0796764649,55874.56037897022,OK,False
E00041,PEN_DB_01,32.89253935660506,0.5065023956194388,60.0,27.107460643394937,27.613963039014376,pensionable_salary_annual,pensionable_salary_annual,365000.0,0.06,1771212.2661912015,0.015,733652.8507927909,13456.848839645678,0.07,0.03,Gompertz-Makeham,0.0002,1e-05,1.1,0.5,0.0,,0.19508271887804374,PIPELINE_06_RETIREMENT_SUMMARY,27.107460643394937,16.452696014800427,0.0,221401.4432758102,0.0,221401.4432758102,0.15976454350885771,6900.485541315435,0.0,6900.485541315435,13623.796453867364,OK,False
E00045,PEN_DB_02,42.455852156057496,4.780287474332649,60.0,17.544147843942504,22.324435318275153,pensionable_salary_annual,pensionable_salary_annual,1866000.0,0.065,5632966.931247003,0.02,2515056.118132132,538544.0252954015,0.068,0.03,Gompertz-Makeham,0.0002,1e-05,1.1,0.67,0.67,56.251882272416154,0.3627013833832742,PIPELINE_06_RETIREMENT_SUMMARY,17.544147843942504,16.877802981487697,1.8401225902054419,9089439.955793113,990987.0267662392,10080426.982559351,0.3153128853488608,1039508.526075011,113333.65626082124,1152842.1823358322,241165.86889929132,OK,False
E00083,PEN_DB_01,34.00684462696783,7.225188227241615,60.0,25.993155373032167,33.21834360027378,pensionable_salary_annual,pensionable_salary_annual,346000.0,0.06,1573458.8390949212,0.015,784015.4453691449,170528.04420416825,0.07,0.03,Gompertz-Makeham,0.0002,1e-05,1.1,0.5,0.0,,0.2558440407306008,PIPELINE_06_RETIREMENT_SUMMARY,25.993155373032167,16.452696014800427,0.0,2805646.07328963,0.0,2805646.07328963,0.17227525490338308,123660.52658347499,0.0,123660.52658347499,17115.19792899365,OK,False
E00090,PEN_DB_01,37.609856262833674,3.5071868583162216,60.0,22.390143737166326,25.897330595482547,pensionable_salary_annual,pensionable_salary_annual,1501000.0,0.06,5533280.071164413,0.015,2149457.7492051004,291093.7072345632,0.07,0.03,Gompertz-Makeham,0.0002,1e-05,1.1,0.5,0.5,61.93018480492813,0.2775173517811121,PIPELINE_06_RETIREMENT_SUMMARY,22.390143737166326,16.452696014800427,0.9729741984537499,4789276.27695158,283226.66647147964,5072502.94342306,0.21983305438737913,292181.71062477864,17278.947197605405,309460.65782238403,88236.1477514643,OK,False
