employee_id,effective_date,basic_salary_monthly,dearness_allowance_monthly,gratuity_eligible_wages_monthly,pensionable_salary_annual,edli_eligible_wages_monthly,gross_compensation_annual,basic_salary_growth_rate,gross_comp_growth_rate,duplicate_employee_effective_date_flag,future_effective_date_flag,missing_any_salary_component_flag,nonpositive_required_salary_flag,negative_dearness_allowance_flag,large_basic_salary_change_flag,large_gross_comp_change_flag
E00017,2025-04-01,40700.0,500.0,,494000.0,41200.0,682000.0,0.0489690721649485,0.05084745762711873,False,False,True,False,False,False,False
E00050,2023-04-01,,400.0,73400.0,881000.0,73400.0,1126000.0,,0.06831119544592035,False,False,True,False,False,False,False
E00068,2023-04-01,,1900.0,129300.0,1529000.0,129300.0,2012000.0,,0.07478632478632474,False,False,True,False,False,False,False
E00100,2025-04-01,75100.0,1700.0,76800.0,902000.0,,1099000.0,0.035862068965517135,0.036792452830188616,False,False,True,False,False,False,False
E00101,2024-04-01,76300.0,2400.0,,944000.0,78700.0,1199000.0,0.101010101010101,0.10202205882352944,False,False,True,False,False,False,False
E00139,2024-04-01,35000.0,400.0,35400.0,,35400.0,562000.0,,,False,False,True,False,False,False,False
E00190,2023-04-01,57700.0,8600.0,66300.0,795000.0,,1085000.0,0.06066176470588225,0.06060606060606055,False,False,True,False,False,False,False
E00198,2025-04-01,61000.0,6600.0,67600.0,811000.0,,990000.0,0.04991394148020656,0.04984093319194072,False,False,True,False,False,False,False
E00203,2026-04-01,91100.0,1800.0,,1115000.0,92900.0,1333000.0,0.08323424494649223,0.08373983739837398,False,False,True,False,False,False,False
E00250,2022-04-01,123500.0,20400.0,143900.0,,143900.0,2170000.0,,,False,False,True,False,False,False,False
E00266,2024-04-01,94400.0,8400.0,102800.0,,102800.0,1600000.0,0.0875576036866359,0.08769544527532291,False,False,True,False,False,False,False
E00280,2026-04-01,28900.0,2900.0,,382000.0,31800.0,529000.0,0.03214285714285725,0.033203125,False,False,True,False,False,False,False
E00299,2026-04-01,76300.0,12000.0,88300.0,,88300.0,1417000.0,0.026917900403768513,0.02681159420289858,False,False,True,False,False,False,False
E00330,2025-04-01,0.0,6700.0,65100.0,701000.0,65100.0,1029000.0,,,False,False,False,True,False,False,False
E00330,2026-04-01,64300.0,7400.0,71700.0,772000.0,71700.0,1134000.0,inf,0.1020408163265305,False,False,False,False,False,True,False
E00350,2023-04-01,68000.0,300.0,68300.0,820000.0,68300.0,1095000.0,0.05263157894736836,-0.9122596153846154,False,False,False,False,False,False,True
E00357,2023-04-01,121200.0,21700.0,142900.0,1715000.0,,2377000.0,0.08797127468581678,0.08737419945105218,False,False,True,False,False,False,False
E00387,2023-04-01,,4100.0,27000.0,324000.0,27000.0,383000.0,,0.05509641873278226,False,False,True,False,False,False,False
E00391,2024-04-01,,400.0,66900.0,803000.0,66900.0,993000.0,,0.02795031055900621,False,False,True,False,False,False,False
