area,issue,count
claims_exposure,event_outside_exposure_flag,53
claims_exposure,exposure_end_before_start_flag,53
claims_exposure,missing_exposure_date_flag,25
claims_exposure,paid_or_approved_missing_amount_flag,1
claims_exposure,claim_row_missing_event_date_flag,0
claims_exposure,claim_row_missing_status_flag,0
claims_exposure,exposure_after_valuation_flag,0
claims_exposure,gti_claim_exceeds_sum_assured_flag,0
claims_exposure,gti_missing_sum_assured_flag,0
claims_exposure,invalid_product_plan_id_flag,0
claims_exposure,negative_claim_amount_flag,0
duplicate_identity,duplicate_employee_ids,50
duplicate_identity,conflicting_duplicate_ids,30
duplicate_identity,exact_duplicate_ids,20
employee_chronology,unusual_joining_age_flag,249
employee_chronology,missing_date_of_birth_flag,119
employee_chronology,missing_date_of_joining_flag,99
employee_chronology,inactive_without_exit_date_flag,82
employee_chronology,active_past_retirement_age_flag,49
employee_chronology,active_with_exit_date_flag,15
employee_chronology,active_with_exit_reason_flag,15
employee_chronology,status_exit_reason_mismatch_flag,5
employee_chronology,dob_after_valuation_flag,0
employee_chronology,doj_after_valuation_flag,0
employee_chronology,doj_on_or_before_dob_flag,0
employee_chronology,exit_before_joining_flag,0
employee_chronology,impossible_attained_age_flag,0
employee_chronology,inactive_without_exit_reason_flag,0
employee_chronology,missing_retirement_age_flag,0
employee_chronology,spouse_eligible_missing_dob_flag,0
employee_chronology,superannuation_join_after_valuation_flag,0
employee_chronology,superannuation_join_before_company_join_flag,0
employee_membership,gratuity_member_missing_plan_flag,58
employee_membership,gti_member_missing_plan_flag,53
employee_membership,super_member_missing_plan_flag,44
employee_membership,edli_eligible_missing_apb_flag,13
employee_membership,pf_no_edli_yes_flag,13
employee_membership,db_member_has_dc_corpus_flag,0
employee_membership,dc_member_missing_corpus_flag,0
employee_membership,gratuity_nonmember_has_plan_flag,0
employee_membership,gti_member_missing_cover_basis_flag,0
employee_membership,gti_member_missing_sum_assured_flag,0
employee_membership,gti_member_nonpositive_sum_assured_flag,0
employee_membership,gti_nonmember_has_plan_flag,0
employee_membership,gti_nonmember_has_sum_assured_flag,0
employee_membership,invalid_gratuity_plan_flag,0
employee_membership,invalid_gti_plan_flag,0
employee_membership,invalid_super_plan_flag,0
employee_membership,pf_member_missing_balance_flag,0
employee_membership,super_member_missing_scheme_type_flag,0
employee_membership,super_nonmember_has_plan_flag,0
employee_membership,super_nonmember_has_scheme_type_flag,0
employee_salary,missing_basic_salary_flag,59
employee_salary,missing_gratuity_wage_flag,39
employee_salary,missing_pensionable_salary_flag,39
employee_salary,basic_salary_monthly_extreme_outlier_flag,27
employee_salary,nonpositive_required_salary_flag,18
employee_salary,gross_compensation_annual_extreme_outlier_flag,5
employee_salary,missing_gross_compensation_flag,0
employee_salary,negative_dearness_allowance_flag,0
plan_assets,future_asset_valuation_date_flag,0
plan_assets,negative_nonreturn_asset_field_flag,0
plan_assets,opening_continuity_break_flag,0
plan_rules,duplicate_rule_id_flag,0
plan_rules,effective_date_order_flag,0
plan_rules,invalid_editable_flag,0
plan_rules,missing_formula_template_flag,0
plan_rules,missing_parameter_value_flag,0
plan_rules,missing_source_reference_flag,0
plan_rules,multiple_active_rule_conflict_flag,0
plan_rules,numeric_parameter_parse_failure_flag,0
salary_history,missing_any_salary_component_flag,510
salary_history,basic_material_history_mismatch_flag,40
salary_history,large_gross_comp_change_flag,39
salary_history,large_basic_salary_change_flag,28
salary_history,nonpositive_required_salary_flag,20
salary_history,gross_material_history_mismatch_flag,7
salary_history,gratuity_material_history_mismatch_flag,4
salary_history,pension_material_history_mismatch_flag,4
salary_history,duplicate_employee_effective_date_flag,0
salary_history,future_effective_date_flag,0
salary_history,negative_dearness_allowance_flag,0
